Code,Name,ResponsiblePerson,ProfitCentre
CC1001,Press Hall,Alice Operations,PC100
CC1002,Paint Shop,Alice Operations,PC100
CC1003,Final Assembly,Alice Operations,PC100
CC1004,Tooling,Alice Operations,PC100
CC1005,Plant North Admin,Alice Operations,PC100
CC1010,Stamping,Alice Operations,PC101
CC1011,Welding,Alice Operations,PC101
CC1012,Body Shop,Alice Operations,PC101
CC1013,Plant South Admin,Alice Operations,PC101
CC1020,Inbound QA,Helen Compliance,PC110
CC1021,Process QA,Helen Compliance,PC110
CC1022,Outbound QA,Helen Compliance,PC110
CC1030,Warehouse North,Alice Operations,PC120
CC1031,Warehouse South,Alice Operations,PC120
CC1032,Warehouse Central,Alice Operations,PC120
CC1033,Warehouse Returns,Alice Operations,PC120
CC1040,Fleet Trucks,Alice Operations,PC120
CC1041,Fleet Vans,Alice Operations,PC120
CC1042,Fleet Maintenance,Alice Operations,PC120
CC1050,Direct Materials,Alice Operations,PC130
CC1051,Indirect Materials,Alice Operations,PC130
CC1052,Vendor Management,Alice Operations,PC130
CC2001,Direct Sales North,Bob Sales,PC200
CC2002,Direct Sales South,Bob Sales,PC200
CC2003,Direct Sales Online,Bob Sales,PC200
CC2010,Retail Flagship,Bob Sales,PC201
CC2011,Retail Outlets,Bob Sales,PC201
CC2012,Retail Pop-up,Bob Sales,PC201
CC2020,UK Sales,Bob Sales,PC210
CC2021,Germany Sales,Bob Sales,PC210
CC2022,France Sales,Bob Sales,PC210
CC2023,Nordics Sales,Bob Sales,PC210
CC2024,Iberia Sales,Bob Sales,PC210
CC2030,Japan Sales,Bob Sales,PC220
CC2031,China Sales,Bob Sales,PC220
CC2032,Australia Sales,Bob Sales,PC220
CC2033,SEA Sales,Bob Sales,PC220
CC2034,India Sales,Bob Sales,PC220
CC2040,US Sales,Bob Sales,PC230
CC2041,Canada Sales,Bob Sales,PC230
CC2042,Mexico Sales,Bob Sales,PC230
CC2050,Brazil Sales,Bob Sales,PC230
CC2051,Argentina Sales,Bob Sales,PC230
CC3001,Brand Strategy,Carol Marketing,PC300
CC3002,Brand Design,Carol Marketing,PC300
CC3003,Brand Research,Carol Marketing,PC300
CC3010,Digital Acquisition,Ian Digital,PC310
CC3011,Digital Content,Ian Digital,PC310
CC3012,Digital Analytics,Ian Digital,PC310
CC3013,Digital Ops,Ian Digital,PC310
CC3014,Marketing Automation,Ian Digital,PC310
CC3020,Trade Shows,Carol Marketing,PC320
CC3021,Sponsorships,Carol Marketing,PC320
CC3022,Internal Events,Carol Marketing,PC320
CC4001,IT Helpdesk Tier 1,Ian Digital,PC400
CC4002,IT Helpdesk Tier 2,Ian Digital,PC400
CC4003,IT Helpdesk Mobile,Ian Digital,PC400
CC4010,Networking,Dave IT,PC400
CC4011,Servers,Dave IT,PC400
CC4012,Cloud Platform,Dave IT,PC400
CC4020,Information Security,Helen Compliance,PC400
CC4021,Identity and Access,Helen Compliance,PC400
CC4030,HR Operations,Eve HR,PC410
CC4031,Talent Acquisition,Eve HR,PC410
CC4032,Learning and Development,Eve HR,PC410
CC4040,Accounts Payable,Frank Finance,PC420
CC4041,Accounts Receivable,Frank Finance,PC420
CC4042,General Ledger,Frank Finance,PC420
CC4050,Treasury Operations,Frank Finance,PC420
CC4060,Internal Audit,Helen Compliance,PC420
CC4070,Operational Risk,Frank Finance,PC420
CC4071,Compliance,Helen Compliance,PC420
CC5001,Hardware Design,Grace RnD,PC500
CC5002,Prototyping,Grace RnD,PC500
CC5003,Hardware QA,Grace RnD,PC500
CC5010,Software Platform,Grace RnD,PC510
CC5011,Software Apps,Grace RnD,PC510
CC5012,Software DevOps,Grace RnD,PC510
CC5013,Software QA,Grace RnD,PC510
CC5020,Innovation Research,Grace RnD,PC520
CC5021,Innovation Prototypes,Grace RnD,PC520
CC5022,Innovation Partnerships,Grace RnD,PC520
CC5030,Quantum Algorithms,Grace RnD,PC530
CC5031,Quantum Hardware,Grace RnD,PC530
CC5032,Quantum Simulation,Grace RnD,PC530
CC5033,Quantum Partnerships,Grace RnD,PC530
CC9001,CEO Office,John Executive,PC900
CC9002,CFO Office,John Executive,PC900
CC9003,Board of Directors,John Executive,PC900
