Code,Name,ResponsiblePerson
R001,UK Sales,Alex UK Country Manager
R003,UK Operations,Alex UK Country Manager
R005,UK Marketing,Alex UK Country Manager
R007,UK IT,Alex UK Country Manager
R009,UK Finance,Alex UK Country Manager
R011,UK Legal,Alex UK Country Manager
R002,US Sales,Jordan US Country Manager
R004,US Operations,Jordan US Country Manager
R006,US Marketing,Jordan US Country Manager
R008,US IT,Jordan US Country Manager
R010,US Finance,Jordan US Country Manager
R012,US Legal,Jordan US Country Manager
